Date,LTCF,Non_ltcf,Total,Cumulative
2020/02/06,0,1,1,1
2020/02/17,0,1,1,2
2020/03/06,0,1,1,3
2020/03/09,0,1,1,4
2020/03/13,0,1,1,5
2020/03/15,0,2,2,7
2020/03/17,0,3,3,10
2020/03/20,0,2,2,12
2020/03/21,0,2,2,14
2020/03/22,0,2,2,16
2020/03/23,1,4,5,21
2020/03/24,0,1,1,22
2020/03/25,0,7,7,29
2020/03/27,0,1,1,30
2020/03/28,0,2,2,32
2020/03/29,0,2,2,34
2020/03/30,0,2,2,36
2020/03/31,0,1,1,37
2020/04/01,0,3,3,40
2020/04/02,0,2,2,42
2020/04/03,1,0,1,43
2020/04/04,1,1,2,45
2020/04/05,1,2,3,48
2020/04/06,1,0,1,49
2020/04/07,2,0,2,51
2020/04/08,0,2,2,53
2020/04/09,1,3,4,57
2020/04/10,1,0,1,58
2020/04/11,5,1,6,64
2020/04/12,4,2,6,70
2020/04/13,0,1,1,71
2020/04/14,2,0,2,73
2020/04/15,3,1,4,77
2020/04/16,2,1,3,80
2020/04/17,2,3,5,85
2020/04/18,2,2,4,89
2020/04/19,1,1,2,91
2020/04/20,4,1,5,96
2020/04/21,2,1,3,99
2020/04/22,2,1,3,102
2020/04/23,0,1,1,103
2020/04/24,1,0,1,104
2020/04/25,1,0,1,105
2020/04/26,2,1,3,108
2020/04/27,1,1,2,110
2020/04/28,1,1,2,112
2020/04/29,1,1,2,114
2020/04/30,1,1,2,116
2020/05/01,1,1,2,118
2020/05/02,2,1,3,121
2020/05/03,1,1,2,123
2020/05/04,3,1,4,127
2020/05/06,1,1,2,129
2020/05/08,1,0,1,130
2020/05/09,0,1,1,131
2020/05/11,1,1,2,133
2020/05/12,1,0,1,134
2020/05/13,0,1,1,135
2020/05/14,0,1,1,136
2020/05/15,1,0,1,137
2020/05/16,1,0,1,138
2020/05/21,1,0,1,139
2020/05/25,1,0,1,140
2020/05/28,1,0,1,141
2020/05/31,1,1,2,143
2020/06/01,0,1,1,144
2020/06/02,1,0,1,145
2020/06/04,1,0,1,146
2020/06/05,0,1,1,147
2020/06/08,1,0,1,148
2020/06/09,0,1,1,149
2020/06/10,1,0,1,150
2020/06/12,2,1,3,153
2020/06/19,0,1,1,154
2020/06/20,1,0,1,155
2020/06/23,2,0,2,157
2020/06/24,1,0,1,158
2020/06/25,0,1,1,159
2020/06/29,2,0,2,161
2020/06/30,0,1,1,162
2020/07/02,0,1,1,163
2020/07/03,1,1,2,165
2020/07/04,1,1,2,167
2020/07/05,2,0,2,169
2020/07/06,0,1,1,170
2020/07/09,2,3,5,175
2020/07/12,0,1,1,176
2020/07/13,1,0,1,177
2020/07/14,1,0,1,178
2020/07/15,0,1,1,179
2020/07/16,0,2,2,181
2020/07/17,1,0,1,182
2020/07/18,0,1,1,183
2020/07/20,0,1,1,184
2020/07/21,0,1,1,185
2020/07/22,0,1,1,186
2020/07/23,2,1,3,189
2020/07/24,0,1,1,190
2020/07/25,1,1,2,192
2020/07/26,0,1,1,193
2020/07/28,1,2,3,196
2020/07/30,1,1,2,198
2020/07/31,0,1,1,199
2020/08/01,0,1,1,200
2020/08/02,0,2,2,202
2020/08/03,0,3,3,205
2020/08/04,2,1,3,208
2020/08/05,1,0,1,209
2020/08/09,0,1,1,210
2020/08/11,0,2,2,212
2020/08/12,2,0,2,214
2020/08/13,0,3,3,217
2020/08/14,1,0,1,218
2020/08/15,0,1,1,219
2020/08/16,2,0,2,221
2020/08/17,1,0,1,222
2020/08/18,1,1,2,224
2020/08/19,2,3,5,229
2020/08/20,0,1,1,230
2020/08/21,0,3,3,233
2020/08/22,2,0,2,235
2020/08/23,2,1,3,238
2020/08/24,1,1,2,240
2020/08/25,0,1,1,241
2020/08/26,3,2,5,246
2020/08/28,1,2,3,249
2020/08/29,0,1,1,250
2020/08/30,0,3,3,253
2020/08/31,1,0,1,254
2020/09/02,1,0,1,255
2020/09/03,0,1,1,256
2020/09/04,1,0,1,257
