Date,icu_covid,icu_other,non_icu_covid,covid_new,covid_total,other_total
2020-03-27,63!,,62,,125.0,0
2020-03-28,30!,,111,,141.0,0
2020-03-29,69!,,81,,150.0,0
2020-03-30,72!,,82,,154.0,0
2020-03-31,73!,,76..,,149.0,0
2020-04-01,82!,,70,,152.0,0
2020-04-02,75!,,90,,165.0,0
2020-04-03,76!,,89,,165.0,0
2020-04-04,69!,,99,,168.0,0
2020-04-05,72!,,95,,167.0,0
2020-04-06,73!,,108,,181.0,0
2020-04-07,74!,,115,,189.0,0
2020-04-08,73!,,77,,150.0,0
2020-04-09,77!,,74,,151.0,0
2020-04-10,66!,,89,,155.0,0
2020-04-11,69!,,71,,140.0,0
2020-04-12,69!,,70,,139.0,0
2020-04-13,64!,,84,,148.0,0
2020-04-14,65!,,73,,138.0,0
2020-04-15,64!,,77,,141.0,0
2020-04-16,58!,122.0,69,12.0,127.0,950
2020-04-17,72!,139.0,67,33.0,139.0,1159
2020-04-18,66!,140.0,69,26.0,135.0,1078
2020-04-19,67!,139.0,76,24.0,143.0,1018
2020-04-20,69!,125.0,79,29.0,148.0,1031
2020-04-21,69!,150.0,74,38.0,143.0,1132
2020-04-22,67!,136.0,69,21.0,136.0,1009
2020-04-23,66!,144.0,76,19.0,142.0,1010
2020-04-24,56!,151.0,70,22.0,126.0,1010
2020-04-25,61!,137.0,64,41.0,125.0,1034
2020-04-26,65!,147.0,60,28.0,125.0,1027
2020-04-27,55!,145.0,59,33.0,114.0,1077
2020-04-28,50!,149.0,65,35.0,115.0,1200
2020-04-29,45!,179.0,62,56.0,107.0,1107
2020-04-30,43!,180.0,59,18.0,102.0,1109
2020-05-01,36!,185.0,55,14.0,91.0,1187
2020-05-02,37!,176.0,55,13.0,92.0,1132
2020-05-03,37!,179.0,57,9.0,94.0,1132
2020-05-04,35!,185.0,54,8.0,89.0,1100
2020-05-05,35!,163.0,42,5.0,77.0,1192
2020-05-06,33!,176.0,40,3.0,73.0,1191
2020-05-07,29!,275.0,39,6.0,68.0,1244
2020-05-08,30!,192.0,39,10.0,69.0,1283
2020-05-09,25!,179.0,37,7.0,62.0,1111
2020-05-10,25!,189.0,37,8.0,62.0,1039
2020-05-11,26!,165.0,35,10.0,61.0,1044
2020-05-12,23!,181.0,31,6.0,54.0,1225
2020-05-13,21!,186.0,33,4.0,54.0,1247
2020-05-14,21!,196.0,26,6.0,47.0,1275
2020-05-15,23!,198.0,22,1.0,45.0,958
2020-05-16,22!,198.0,25,8.0,47.0,1282
2020-05-17,19!,180.0,24,3.0,43.0,1244
2020-05-18,17!,162.0,28,3.0,45.0,1265
2020-05-19,15!,184.0,21,5.0,36.0,1236
2020-05-20,15!,197.0,18,2.0,33.0,1276
2020-05-21,15!,181.0,19,5.0,34.0,1336
2020-05-22,18!,187.0,21,9.0,39.0,1371
2020-05-23,17!,184.0,16,3.0,33.0,1363
2020-05-24,15!,171.0,19,2.0,34.0,1292
2020-05-25,14!,177.0,17,1.0,31.0,1223
2020-05-26,14!,144.0,21,6.0,35.0,1211
2020-05-27,12!,204.0,15,0.0,27.0,1320
2020-05-28,13!,204.0,14,3.0,27.0,1384
2020-05-29,13!,206.0,13,6.0,26.0,1435
2020-05-30,12!,214.0,17,4.0,29.0,1436
2020-05-31,10!,196.0,16,6.0,26.0,1447
2020-06-01,9!,200.0,15,1.0,24.0,1288
2020-06-02,10!,215.0,17,5.0,27.0,1384
2020-06-03,8!,213.0,25,6.0,33.0,1354
2020-06-04,14!,210.0,21,9.0,35.0,1400
2020-06-05,18!,241.0,20,11.0,38.0,1257
2020-06-06,16!,228.0,23,3.0,39.0,1233
2020-06-07,15!,225.0,23,3.0,38.0,1305
2020-06-08,19!,204.0,25,6.0,44.0,1116
2020-06-09,18!,223.0,23,5.0,41.0,1226
2020-06-10,16!,224.0,24,7.0,40.0,1358
2020-06-11,18!,237.0,21,3.0,39.0,1400
2020-06-12,18!,218.0,25,6.0,,1396
2020-06-13,13!,235.0,22,4.0,,1456
2020-06-14,13!,223.0,25,3.0,,1329
2020-06-15,12!,211.0,24,5.0,,1374
2020-06-16,12!,216.0,19,1.0,,1475
2020-06-17,14!,222.0,21,9.0,,1508
2020-06-18,16!,212.0,17,5.0,,1533
2020-06-19,19!,222.0,19,9.0,,1520
2020-06-20,21!,200.0,17,6.0,,1467
2020-06-21,22!,193.0,16,8.0,,1384
2020-06-22,25!,193.0,23,16.0,,1330
2020-06-23,32!,192.0,24,14.0,56.0,1444
2020-06-24,33!,204.0,32,16.0,65.0,1485
2020-06-25,29!,234.0,39,13.0,68.0,1550
2020-06-26,29!,219.0,37,13.0,66.0,1560
2020-06-27,31!,216.0,45,6.0,76.0,1533
2020-06-28,35!,211.0,43,19.0,78.0,1469
2020-06-29,33!,214.0,52,15.0,85.0,1450
2020-06-30,34!,227.0,46,4.0,80.0,1587
2020-07-01,35!,219.0,45,10.0,80.0,1548
2020-07-02,33!,220.0,57,9.0,90.0,1549
2020-07-03,37!,210.0,45,12.0,82.0,1487
2020-07-04,35!,195.0,50,11.0,85.0,1309
2020-07-05,36!,206.0,50,7.0,86.0,1289
2020-07-06,33!,209.0,55,21.0,88.0,1411
2020-07-07,40!,220.0,56,16.0,96.0,1553
2020-07-08,46!,212.0,58,25.0,104.0,1579
2020-07-09,45!,215.0,67,19.0,116.0,1587
2020-07-10,45!,219.0,68,21.0,118.0,1571
2020-07-11,47!,192.0,68,15.0,120.0,1561
2020-07-12,50!,211.0,75,33.0,129.0,1531
2020-07-13,49!,210.0,84,21.0,144.0,1460
2020-07-14,53!,228.0,84,25.0,140.0,1542
2020-07-15,54!,221.0,87,23.0,145.0,1505
2020-07-16,49!,201.0,94,28.0,146.0,1548
2020-07-17,43!,216.0,105,33.0,151.0,1532
2020-07-18,42!,210.0,107,19.0,151.0,1466
2020-07-19,44!,201.0,110,30.0,156.0,1423
2020-07-20,49!,196.0,116,28.0,167.0,1404
2020-07-21,50!,212.0,116,36.0,169.0,1481
2020-07-22,49!,216.0,119,32.0,173.0,1539
2020-07-23,51!,219.0,117,37.0,176.0,1559
2020-07-24,49!,229.0,124,41.0,178.0,1598
2020-07-25,51!,230.0,119,32.0,175.0,1599
2020-07-26,55!,216.0,114,27.0,174.0,1521
2020-07-27,57!,207.0,113,23.0,174.0,1485
2020-07-28,53!,213.0,127,29.0,185.0,1556
2020-07-29,52!,227.0,120,23.0,177.0,1554
2020-07-30,45!,229.0,124,25.0,178.0,1552
2020-07-31,51!,215.0,122,27.0,182.0,1543
2020-08-01,51!,215.0,123,18.0,183.0,1555
2020-08-02,51!,218.0,122,21.0,181.0,1515
2020-08-03,49!,213.0,114,10.0,169.0,1483
2020-08-04,50!,228.0,116,16.0,172.0,1595
2020-08-05,48!,231.0,113,29.0,169.0,1597
2020-08-06,50!,230.0,110,23.0,169.0,1572
2020-08-07,52!,233.0,109,25.0,170.0,1577
2020-08-08,53!,196.0,109,20.0,172.0,1593
2020-08-09,53!,206.0,114,25.0,177.0,1545
2020-08-10,51!,210.0,119,21.0,180.0,1403
2020-08-11,45!,217.0,113,23.0,166.0,1514
2020-08-12,48!,212.0,113,24.0,169.0,1535
2020-08-13,52!,196.0,118,31.0,176.0,1610
2020-08-14,53!,206.0,108,32.0,167.0,1636
2020-08-15,54!,202.0,112,20.0,173.0,1613
2020-08-16,50!,199.0,113,28.0,172.0,1545
2020-08-17,50!,182.0,112,21.0,171.0,1551
2020-08-18,54!,194.0,103,18.0,166.0,1654
2020-08-19,45!,201.0,111,23.0,162.0,1605
2020-08-20,45!,213.0,102,16.0,153.0,1649
2020-08-21,43!,221.0,107,20.0,155.0,1644
2020-08-22,40!,218.0,112,17.0,158.0,1655
2020-08-23,40!,222.0,110,24.0,157.0,1600
2020-08-24,38!,198.0,109,16.0,153.0,1547
2020-08-25,39!,206.0,101,15.0,142.0,1626
2020-08-26,43!,203.0,93,17.0,138.0,1710
2020-08-27,42!,214.0,93,17.0,138.0,1675
2020-08-28,49!,210.0,88,21.0,139.0,1681
2020-08-29,48!,210.0,97,15.0,147.0,1652
2020-08-30,45!,209.0,91,17.0,138.0,1556
2020-08-31,43!,188.0,86,9.0,131.0,1567
2020-09-01,46!,195.0,80,15.0,128.0,1641
2020-09-02,47!,209.0,78,15.0,128.0,1655
2020-09-03,45!,224.0,-73,10.0,122.0,1689
2020-09-04,41!,225.0,75,22.0,120.0,1724
2020-07-30,45!,229.0,124,25.0,0.0,1552
2020-07-31,51!,215.0,122,27.0,0.0,1543
2020-08-01,51!,215.0,123,18.0,0.0,1555
2020-08-02,51!,218.0,122,21.0,0.0,1515
2020-08-03,49!,213.0,114,10.0,0.0,1483
2020-08-04,50!,228.0,116,16.0,0.0,1595
2020-08-05,48!,231.0,113,29.0,0.0,1597
2020-08-06,50!,230.0,110,23.0,0.0,1572
2020-08-07,52!,233.0,109,25.0,0.0,1577
2020-08-08,53!,196.0,109,20.0,0.0,1593
